,News Org,Date,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
148,New York Times,Mon Jan 08 01:27:21 +0000 2018,"""I’m a Sam Rockwell fan who despises the moral and emotional and metaphorical confusion that is 'Three Billboards O… https://t.co/PHLTjLjTki",-0.3182,0.162,0.622,0.216,49
149,New York Times,Mon Jan 08 01:24:37 +0000 2018,A running list of winners of the Golden Globes https://t.co/rfuetPaDVb,0.4767,0.279,0.721,0.0,50
150,New York Times,Mon Jan 08 01:24:05 +0000 2018,"The truth has a voice.

This commercial for The New York Times premiered during the Golden Globes. https://t.co/bDdSVPgLzf",0.3182,0.126,0.874,0.0,51
151,New York Times,Mon Jan 08 01:20:05 +0000 2018,"The NYT review of ""Three Billboards Outside Ebbing, Missouri,"" for which Sam Rockwell just won a Golden Globe https://t.co/MaFqqW4B72",0.5719,0.179,0.821,0.0,52
152,New York Times,Mon Jan 08 01:16:18 +0000 2018,"RT @nytimesarts: Nicole Kidman wins the Golden Globe for best actress, TV movie or miniseries for ""Big Little Lies""",0.7501,0.299,0.606,0.095,53
153,New York Times,Mon Jan 08 01:15:07 +0000 2018,"With ""Big Little Lies,"" Nicole Kidman (who just won a Golden Globe) helped ensure that complicated stories about wo… https://t.co/2Xs4jBZcwi",0.743,0.27,0.73,0.0,54
154,New York Times,Mon Jan 08 01:11:45 +0000 2018,Amy Poehler is among 8 actresses who are accompanied by activists at the Golden Globes https://t.co/2lttz5Hhnr,0.0,0.0,1.0,0.0,55
155,New York Times,Mon Jan 08 01:08:13 +0000 2018,"RT @NYTStyles: Harvey Weinstein helped build the awards circuit as we know it. He’ll be gone from this year’s Golden Globes— derided, decri…",0.296,0.116,0.814,0.07,56
156,New York Times,Mon Jan 08 01:06:59 +0000 2018,"""Seth Meyers is making the most of the anxiety about how he’d do,"" @melenar writes of the Golden Globes https://t.co/39vndAdGbB",-0.2415,0.0,0.906,0.094,57
157,New York Times,Mon Jan 08 01:01:51 +0000 2018,"Seth Meyers on hosting the Golden Globes: ""If we’re going to talk about what’s been going on lately, then I can bri… https://t.co/YV4dakchyJ",0.0,0.0,1.0,0.0,58
158,New York Times,Mon Jan 08 00:49:05 +0000 2018,The Golden Globes are Hollywood's first major gathering of the #MeToo era. How will the stars respond? Join us for… https://t.co/TqLeZdHE7u,0.296,0.099,0.901,0.0,59
159,New York Times,Mon Jan 08 00:36:03 +0000 2018,Photos: The latest action from the Golden Globes red carpet https://t.co/MXly37Tooe,0.0,0.0,1.0,0.0,60
160,New York Times,Mon Jan 08 00:35:01 +0000 2018,This succulent chicken recipe is as timeless as they come https://t.co/rwRhC2geUg,0.0,0.0,1.0,0.0,61
161,New York Times,Mon Jan 08 00:29:12 +0000 2018,"RT @NYTStyles: Amy Poehler is at the #GoldenGlobes with Saru Jayaraman, an advocate and attorney for restaurant workers. https://t.co/63UNN…",0.0,0.0,1.0,0.0,62
162,New York Times,Mon Jan 08 00:20:48 +0000 2018,We asked Golden Globes nominees about sexism. Here's what they said. https://t.co/jmJBHHQq3O,0.0,0.0,1.0,0.0,63
163,New York Times,Mon Jan 08 00:08:43 +0000 2018,"Debra Messing, live on E!, used her red carpet interview to chastise E! https://t.co/2dLp7CzTZB",-0.6229,0.0,0.761,0.239,64
164,New York Times,Mon Jan 08 00:07:42 +0000 2018,"The Golden Globes will be draped in black, quite literally, with actresses and some actors vowing to use their atti… https://t.co/l3PnmcRnU0",0.0,0.0,1.0,0.0,65
165,New York Times,Mon Jan 08 00:02:10 +0000 2018,Follow @caraNYT for more updates from the Golden Globes red carpet. https://t.co/i1Xg4qdNGR,0.0,0.0,1.0,0.0,66
166,New York Times,Sun Jan 07 23:57:04 +0000 2018,Time's Up pins are the political accessory at the Golden Globes https://t.co/jzk1PpV0Eo,0.0,0.0,1.0,0.0,67
167,New York Times,Sun Jan 07 23:47:46 +0000 2018,"Michelle Williams, Emma Watson and six other actresses will each be accompanied by activists on the Golden Globes r… https://t.co/Abb8kxQLI6",0.0,0.0,1.0,0.0,68
168,New York Times,Sun Jan 07 23:38:05 +0000 2018,Israel published a blacklist of 20 organizations whose leaders it has barred from entering the country for supporti… https://t.co/DqhQS6nehV,0.0,0.0,1.0,0.0,69
169,New York Times,Sun Jan 07 23:34:20 +0000 2018,"RT @VVFriedman: The black fashion #goldenglobes movement seems to be divided along three lines: women who wear black tuxes, women who wear…",0.0,0.0,1.0,0.0,70
170,New York Times,Sun Jan 07 23:28:12 +0000 2018,"Given Hollywood's cultural reckoning, @NYTStyles decided to take a fresh approach to the Golden Globes red carpet.… https://t.co/MPt3GxEvlR",0.3182,0.126,0.874,0.0,71
171,New York Times,Sun Jan 07 23:15:08 +0000 2018,RT @nytopinion: .@ambertamblyn: What we are wearing is not a statement of fashion. It is a statement of action. It is a direct message of r…,0.0,0.0,1.0,0.0,72
172,New York Times,Sun Jan 07 23:14:33 +0000 2018,"Debra Messing, being interviewed on E!: "" I was so shocked to hear E! doesn’t believe in paying their female co-hos… https://t.co/Xpe0ozIlWX",-0.5537,0.0,0.842,0.158,73
173,New York Times,Sun Jan 07 23:10:05 +0000 2018,A group of 300 Hollywood women have formed a sprawling initiative to fight systemic sexual harassment https://t.co/mfaGVJPaxJ,-0.7269,0.0,0.681,0.319,74
174,New York Times,Sun Jan 07 23:09:41 +0000 2018,"RT @caraNYT: ""With the women's march and now this, it really feels like a revolution is taking place. Although it's not going to solve all…",0.2929,0.105,0.834,0.06,75
175,New York Times,Sun Jan 07 23:07:42 +0000 2018,"Meryl Streep: ""I don't want to hear about the silence of me. I want to hear about the silence of Melania Trump. I w… https://t.co/8MDsR5wCGh",-0.1139,0.0,0.896,0.104,76
176,New York Times,Sun Jan 07 23:06:43 +0000 2018,Want updates from the Golden Globes red carpet? Follow @caraNYT. https://t.co/Aqd8KtYdwI,0.0772,0.115,0.885,0.0,77
177,New York Times,Sun Jan 07 23:00:32 +0000 2018,"The idea of Australia's 3,500-mile long dingo fence is simple: to keep feral dogs and dingoes on one side of the wi… https://t.co/gTiUqFBRzo",0.0,0.0,1.0,0.0,78
178,New York Times,Sun Jan 07 22:49:37 +0000 2018,"RT @nytimesarts: 8 actresses, including Meryl Streep, Michelle Williams and Laura Dern, announced that they would be accompanied by activis…",0.0,0.0,1.0,0.0,79
179,New York Times,Sun Jan 07 22:45:09 +0000 2018,"Watch: At a suicide prevention hotline in Puerto Rico, calls are on the rise after Hurricane Maria. Officials warn… https://t.co/q99BD9T3GX",-0.6705,0.0,0.8,0.2,80
180,New York Times,Sun Jan 07 22:30:30 +0000 2018,"A water main break flooded part of JFK airport, disrupting flights, stranding passengers and adding to the delays f… https://t.co/LnRP1GuZ2O",0.0,0.0,1.0,0.0,81
181,New York Times,Sun Jan 07 22:15:04 +0000 2018,"As violence rises in Mexico, a handful of towns are quietly breaking from the state. But their experiments in quasi… https://t.co/XGmDQiU7BX",-0.6249,0.0,0.823,0.177,82
182,New York Times,Sun Jan 07 22:00:18 +0000 2018,RT @nytpolitics: Senator Kirsten Gillibrand urged Al Franken to resign last month. “I believe she miscalculated and has shot herself in the…,-0.34,0.0,0.897,0.103,83
183,New York Times,Sun Jan 07 21:45:07 +0000 2018,Do falling crime rates mean the United States could do with fewer police officers? https://t.co/rilMExcdWy,-0.3182,0.141,0.603,0.256,84
184,New York Times,Sun Jan 07 21:30:05 +0000 2018,"RT @jwpetersNYT: Here is Bannon's statement in full, as provided to The Times. https://t.co/0R9JgvMOny",0.0,0.0,1.0,0.0,85
185,New York Times,Sun Jan 07 21:15:05 +0000 2018,Here are 5 things to watch for during this year’s Golden Globes ceremony https://t.co/MG0lb7e85l,0.0,0.0,1.0,0.0,86
186,New York Times,Sun Jan 07 21:00:10 +0000 2018,“I don’t want trouble. I just want my son released.” https://t.co/pv6D2U1Hjv,-0.2732,0.211,0.569,0.22,87
187,New York Times,Sun Jan 07 20:45:05 +0000 2018,"""We did not find any issues, complaints or incidents of misconduct of any kind in the 8 years we worked together"" https://t.co/yfptIsndJI",0.1779,0.135,0.757,0.108,88
188,New York Times,Sun Jan 07 20:30:05 +0000 2018,"Amber Tamblyn writes in @nytopinion: ""What we are wearing is not a statement of fashion. It is a statement of actio… https://t.co/ujSoyWwRKD",0.0,0.0,1.0,0.0,89
189,New York Times,Sun Jan 07 20:15:07 +0000 2018,"Last May, Jared Kushner accompanied President Trump on the pair’s first diplomatic trip to Israel.

Shortly before,… https://t.co/ku4lkFaPFF",0.0,0.0,1.0,0.0,90
190,New York Times,Sun Jan 07 20:00:11 +0000 2018,RT @NYTHealth: Germany and other countries have health care systems that don't allow people with diabetes and other chronic illnesses to go…,-0.1695,0.118,0.702,0.18,91
191,New York Times,Sun Jan 07 19:45:08 +0000 2018,"“In my gut they moved too fast,” a major Democratic Party donor said of the senators who urged Al Franken to resign https://t.co/9xLDtSm3GD",0.0772,0.108,0.797,0.096,92
192,New York Times,Sun Jan 07 19:30:13 +0000 2018,Steve Bannon is quoted in a new book calling Donald Trump Jr.’s meeting with Russians in 2016 “treasonous.” On Sund… https://t.co/rnQmlLkXLN,0.0,0.0,1.0,0.0,93
193,New York Times,Sun Jan 07 19:15:03 +0000 2018,8 actresses at the Golden Globes are extending their political statements to their plus-ones https://t.co/7YKjboRg7z,0.0,0.0,1.0,0.0,94
194,New York Times,Sun Jan 07 19:00:05 +0000 2018,RT @nytimesbooks: 9 new books recommended by editors at The New York Times https://t.co/oHhF1AtR1B,0.2023,0.13,0.87,0.0,95
195,New York Times,Sun Jan 07 18:45:06 +0000 2018,He went by the username “Kutecop4you” and described himself in an online ad as a “dominate male police officer” see… https://t.co/co0csu2GYu,0.0,0.0,1.0,0.0,96
196,New York Times,Sun Jan 07 18:30:26 +0000 2018,Read Steve Bannon's full statement on Donald Trump Jr. https://t.co/mUWsgSzIbN,0.0,0.0,1.0,0.0,97
197,New York Times,Sun Jan 07 18:15:04 +0000 2018,"""Some people try on shoes for fun. I try on houses."" https://t.co/HIvS3SFOhq",0.5106,0.248,0.752,0.0,98
198,New York Times,Sun Jan 07 18:00:18 +0000 2018,RT @NYTHealth: Exercise alters our microbiome. Is that one reason it’s so good for us? https://t.co/wMppLcutyo,0.5777,0.2,0.8,0.0,99
199,New York Times,Sun Jan 07 17:43:57 +0000 2018,"Breaking News: Steve Bannon said his “treasonous” quote in a new book was not aimed at President Trump’s son, as he… https://t.co/N1OZHbcIc9",0.0,0.0,1.0,0.0,100
200,Fox,Mon Jan 08 05:54:06 +0000 2018,"On @MediaBuzzFNC, Anthony @Scaramucci slammed Michael Wolff's book ""Fire and Fury,"" and defended the accomplishment… https://t.co/xPz8Fss9Q1",-0.34,0.0,0.862,0.138,1
201,Fox,Mon Jan 08 05:48:02 +0000 2018,".@TGowdySC: ""Almost 60 Democrats voted to move forward with impeachment already - before Bob Mueller's released a s… https://t.co/nB9j8V0FwX",0.0,0.0,1.0,0.0,2
202,Fox,Mon Jan 08 05:37:04 +0000 2018,".@TGowdySC: ""This time last year, Democrats wanted Comey prosecuted. Remember that? Harry Reid wanted him prosecute… https://t.co/j9tqloghQz",-0.3818,0.0,0.86,0.14,3
203,Fox,Mon Jan 08 05:34:04 +0000 2018,".@charliekirk11: ""You look at what the president has accomplished over the last year, it's absolutely unprecedented… https://t.co/l4DJX0jfLn",0.4404,0.153,0.847,0.0,4
204,Fox,Mon Jan 08 05:14:01 +0000 2018,".@marykissel: ""I am proud to be an American under an administration that speaks this way."" https://t.co/x9l7YqO514",0.4767,0.171,0.829,0.0,5
205,Fox,Mon Jan 08 04:56:04 +0000 2018,".@MissDiagnosis: ""Morally, [Noor Salman's] as implicated in the killings as her husband."" https://t.co/oNGJxeEPei https://t.co/4lR3VaxbGg",-0.6705,0.0,0.743,0.257,6
206,Fox,Mon Jan 08 04:56:03 +0000 2018,".@ThomTillis: ""There's a compelling humanitarian reason for securing the border: Thousands of people die trying to… https://t.co/mt4fch74wm",-0.1779,0.199,0.616,0.185,7
207,Fox,Mon Jan 08 04:53:03 +0000 2018,Do you agree with Gov. @MartinOMalley? https://t.co/A7BFQiEjQS https://t.co/wpYdnL34eP,0.3612,0.263,0.737,0.0,8
208,Fox,Mon Jan 08 04:52:01 +0000 2018,"On ""Sunday Morning Futures with @MariaBartiromo,"" Sen. @ThomTillis slammed Democrats who have changed their tune ra… https://t.co/2XuiHOozSG",0.0,0.0,1.0,0.0,9
209,Fox,Mon Jan 08 04:45:02 +0000 2018,"This morning on ""Fox &amp; Friends,"" hosts @PeteHegseth, @LisaMarieBoothe, and @GriffJenkins pointed out the big change… https://t.co/cQWUsaaoH6",0.0,0.0,1.0,0.0,10
210,Fox,Mon Jan 08 04:44:03 +0000 2018,.@AlanDersh Blasts Fellow Dems Over Claims Trump Is Mentally Ill https://t.co/HWAh4Y9nmB https://t.co/26usWuaNZQ,-0.4215,0.0,0.797,0.203,11
211,Fox,Mon Jan 08 04:36:05 +0000 2018,".@LawrenceBJones3: ""I don't even believe we should be talking about this DACA issue until we take care of American… https://t.co/t2zpaXcfXL",0.4939,0.144,0.856,0.0,12
212,Fox,Mon Jan 08 04:35:05 +0000 2018,"On @MediaBuzzFNC, Anthony @Scaramucci slammed Michael Wolff's book ""Fire and Fury,"" and defended the accomplishment… https://t.co/ogTOr1GBEs",-0.34,0.0,0.862,0.138,13
213,Fox,Mon Jan 08 04:30:01 +0000 2018,"This morning on @foxandfriends, @LisaMarieBoothe discussed @TheDemocrats' recent approach to the issue of illegal i… https://t.co/lqwEsXqqUR",-0.5574,0.0,0.806,0.194,14
214,Fox,Mon Jan 08 04:28:06 +0000 2018,".@BillClinton in 1996: ""We are increasing border controls by 50%. We are increasing inspections to prevent the hiri… https://t.co/7NhfaCW4Bm",0.0258,0.058,0.942,0.0,15
215,Fox,Mon Jan 08 04:22:06 +0000 2018,".@gen_jackkeane: ""North Korea's feeling maximum pressure... Economic sanctions are finally starting to take hold."" https://t.co/n3p6ycGRC7",0.128,0.097,0.903,0.0,16
216,Fox,Mon Jan 08 04:19:05 +0000 2018,".@dbongino: ""Let me show you in about a minute or less what a hoax this whole thing is, this Russian collusion nons… https://t.co/FNoe5I5ojE",-0.2075,0.0,0.917,0.083,17
217,Fox,Mon Jan 08 04:03:45 +0000 2018,Scientologist Elisabeth Moss slammed for 'hypocritical' Golden Globes speech https://t.co/2EePtKzBOq,0.0,0.0,1.0,0.0,18
218,Fox,Mon Jan 08 04:00:03 +0000 2018,Bannon expresses 'regret' for comments attributed to him in 'Fire and Fury' https://t.co/MIZB00ocAI https://t.co/hGbyREuSOD,-0.7269,0.0,0.663,0.337,19
219,Fox,Mon Jan 08 04:00:01 +0000 2018,"RIGHT NOW: @WilliamJBennett hosts ""The Wise Guys,"" a powerful discussion on America's future - Tune in at 8p &amp; 11p… https://t.co/kgPH4m1yQ9",0.7096,0.258,0.742,0.0,20
220,Fox,Mon Jan 08 03:53:00 +0000 2018,"Chris Christie thinks he'd be president if Trump hadn't run, report says https://t.co/5TS5m3lw0B",0.0,0.0,1.0,0.0,21
221,Fox,Mon Jan 08 03:52:16 +0000 2018,"Earlier, @PressSec tweeted about the criticism President @realDonaldTrump receives from @TheDemocrats. https://t.co/vgaIo6Mnvz",-0.4404,0.0,0.791,0.209,22
222,Fox,Mon Jan 08 03:46:07 +0000 2018,".@RepMarkMeadows on new Clinton probe: ""If the attorney general is willing to be transparent, we'll applaud him...… https://t.co/u5rdqB0mvG",0.4588,0.15,0.85,0.0,23
223,Fox,Mon Jan 08 03:21:03 +0000 2018,".@CLewandowski_: ""North Korea has to understand, there are consequences and the @UN has to act in a capacity that s… https://t.co/kaHeerTK82",0.0,0.0,1.0,0.0,24
224,Fox,Mon Jan 08 03:09:00 +0000 2018,"New York's JFK Airport hit with massive delays, angry passengers after 'bomb cyclone' https://t.co/sNGrkna9ef",-0.7579,0.0,0.649,0.351,25
225,Fox,Mon Jan 08 03:02:19 +0000 2018,Fraternity brothers to be sentenced after allegedly covering up pledge hazing death https://t.co/F79revYE95,-0.6124,0.0,0.688,0.312,26
226,Fox,Mon Jan 08 02:46:07 +0000 2018,Blanca Blanco ignores all-black dress code at #GoldenGlobes https://t.co/I2kaS2Sv8K,-0.2732,0.0,0.792,0.208,27
227,Fox,Mon Jan 08 02:38:17 +0000 2018,#GoldenGlobes kick off 2018 award season: What to know about the show https://t.co/Dvp9gSj7bs,0.5423,0.226,0.774,0.0,28
228,Fox,Mon Jan 08 02:36:40 +0000 2018,"Henry Olsen on DACA: ""People low skilled throughout the developed world are hit by a double whammy of competition.… https://t.co/Nn2M2r7zAS",-0.2732,0.0,0.896,0.104,29
229,Fox,Mon Jan 08 02:29:00 +0000 2018,".@Tim_Canova on DACA: ""We have to have a conversation in this country [of] what it means to be an American and how… https://t.co/9vRiBbF7FN",0.0,0.0,1.0,0.0,30
230,Fox,Mon Jan 08 02:24:26 +0000 2018,".@TomiLahren on ""Fire and Fury"": ""It's very sad to me that there are individuals, whether they were in the administ… https://t.co/RTAmgLYxEB",-0.6997,0.0,0.766,0.234,31
231,Fox,Mon Jan 08 02:22:06 +0000 2018,"Henry Olsen on ""Fire and Fury"": ""I think that's the biggest story that's coming out of this is that the President i… https://t.co/rnqReXa9UT",-0.34,0.0,0.902,0.098,32
232,Fox,Mon Jan 08 02:19:00 +0000 2018,"Iran banning English classes in primary schools citing 'cultural invasion' fears, official says https://t.co/bWJkFG5nNM",-0.4215,0.0,0.823,0.177,33
233,Fox,Mon Jan 08 02:12:31 +0000 2018,".@Tim_Canova on ""Fire and Fury"":  ""I'd rather talk about the issues than the personality of the president.""… https://t.co/YcjJ1rEajH",-0.34,0.0,0.876,0.124,34
234,Fox,Mon Jan 08 02:11:00 +0000 2018,US Navy plane joins hunt for 32 sailors after Iranian tanker collides with freighter off China https://t.co/aUnI8suUSq,-0.2732,0.0,0.884,0.116,35
235,Fox,Mon Jan 08 02:04:00 +0000 2018,"EXCLUSIVE: UNICEF using biased information to blacklist Israel military, critics say https://t.co/fWUeiaxR2n",-0.2656,0.144,0.579,0.277,36
236,Fox,Mon Jan 08 01:57:00 +0000 2018,"Golden Globes host Seth Meyers mocks Harvey Weinstein, Kevin Spacey https://t.co/GYxuusbYQ1",-0.4588,0.0,0.769,0.231,37
237,Fox,Mon Jan 08 01:52:26 +0000 2018,".@AlanDersh: ""Separation of church and state can't ever be absolute. The church and the synagogue are part of socie… https://t.co/BB6b92FldF",0.0,0.0,1.0,0.0,38
238,Fox,Mon Jan 08 01:47:43 +0000 2018,".@OliverNorthFNC: ""The sequester that was imposed on our military for the last five years of the Obama administrati… https://t.co/jX4WlKRGPn",-0.0772,0.0,0.933,0.067,39
239,Fox,Mon Jan 08 01:43:02 +0000 2018,"Yesterday, @SenSanders commented on President @realDonaldTrump's administration asking Congress for $18 billion to… https://t.co/JSSCIQIZOg",0.0,0.0,1.0,0.0,40
240,Fox,Mon Jan 08 01:40:00 +0000 2018,Moody Blues rocker Ray Thomas dies before Hall of Fame induction ceremony https://t.co/jAujADJTkH,0.1027,0.177,0.671,0.152,41
241,Fox,Mon Jan 08 01:36:45 +0000 2018,"Steve Wynn: ""The only constituency that a successful businessperson has is the jobs he's created, the people that w… https://t.co/t8omlAbmxR",0.7003,0.254,0.746,0.0,42
242,Fox,Mon Jan 08 01:32:42 +0000 2018,".@AlanDersh: ""The perception of the disparity of wealth has become greater than ever before because of the media."" https://t.co/593PIZ6hdd",0.6908,0.251,0.749,0.0,43
243,Fox,Mon Jan 08 01:29:00 +0000 2018,Connie Britton wears 'poverty is sexist' sweater at the Golden Globes https://t.co/aFAOdxTxIo,-0.5106,0.0,0.769,0.231,44
244,Fox,Mon Jan 08 01:23:16 +0000 2018,Town encourages children to smoke during Epiphany https://t.co/SKHKCxSgAl,0.4404,0.293,0.707,0.0,45
245,Fox,Mon Jan 08 01:16:44 +0000 2018,".@AriFleischer: ""There are [a lot] of blue collar workers who thought Washington wasn't listening to their voice, a… https://t.co/gOVlTTfZaK",0.0,0.0,1.0,0.0,46
246,Fox,Mon Jan 08 01:00:01 +0000 2018,"RIGHT NOW: @WilliamJBennett hosts ""The Wise Guys,"" a powerful discussion on America's future - Tune in at 8p &amp; 11p… https://t.co/9kGQEmiGVt",0.7096,0.258,0.742,0.0,47
247,Fox,Mon Jan 08 00:58:38 +0000 2018,".@WalidPhares: ""We're not gonna stop the sanctions at a time where the Iranian regime is becoming and showing a lot… https://t.co/qH74DgMD2b",0.2235,0.095,0.905,0.0,48
248,Fox,Mon Jan 08 00:45:00 +0000 2018,.@newtgingrich: @realDonaldTrump is right -- we need welfare reform https://t.co/EdDvPivrID,0.0,0.0,1.0,0.0,49
249,Fox,Mon Jan 08 00:43:00 +0000 2018,Debra Messing slams E! over wage equality during live Golden Globes red carpet interview https://t.co/GoGMcfGhBz,0.0,0.0,1.0,0.0,50
250,Fox,Mon Jan 08 00:33:00 +0000 2018,"De Blasio to travel 'all around' America, denies it's a dry run for WH campaign https://t.co/WkCqvFToHu",-0.4215,0.0,0.833,0.167,51
251,Fox,Mon Jan 08 00:23:50 +0000 2018,".@lindsemcpherson on Dems working with @POTUS: ""Why would they work with him to give him a big win on a legislative… https://t.co/nHF7R084Ww",0.5859,0.167,0.833,0.0,52
252,Fox,Mon Jan 08 00:23:00 +0000 2018,E! replaces 'Who are you wearing' with questions about black attire at the 2018 Golden Globes https://t.co/hiEno9DqMs,0.0,0.0,1.0,0.0,53
253,Fox,Mon Jan 08 00:22:05 +0000 2018,".@lindsemcpherson on Dems working with @POTUS: ""Democrats have no real incentive to work with the president when th… https://t.co/ABrQYNfmvj",0.0772,0.115,0.783,0.101,54
254,Fox,Mon Jan 08 00:14:32 +0000 2018,Former Dem 2016 Candidate: Let 'Obsessed' Trump Build Wall If It Saves DACA https://t.co/1vzt1dhJzy,0.0,0.0,1.0,0.0,55
255,Fox,Mon Jan 08 00:02:31 +0000 2018,".@JSchanzer on Iran nuclear deal: ""The Iranians, there's no doubt they got just about everything they possibly coul… https://t.co/SqWLlKOyfr",-0.5719,0.0,0.783,0.217,56
256,Fox,Sun Jan 07 23:54:52 +0000 2018,"Math teacher accused of multiple sex romps, sending lewd photos to student, sentenced https://t.co/hCwq8lgTdX",-0.3182,0.0,0.784,0.216,57
257,Fox,Sun Jan 07 23:48:23 +0000 2018,Celebrities wear black to the #GoldenGlobes to protest sexual harassment in the entertainment industry.… https://t.co/fugBDQxsLr,-0.4019,0.138,0.591,0.271,58
258,Fox,Sun Jan 07 23:37:00 +0000 2018,"Feds to seek retrial in Bundy case, as sting of mistrial lingers
 https://t.co/JAoHs6kdF0",0.0,0.0,1.0,0.0,59
259,Fox,Sun Jan 07 23:28:29 +0000 2018,".@Jamie_Weinstein on calls for Sessions to resign: ""He is an embattled man and I think he's been an embattled attor… https://t.co/LDRZyJnJyI",-0.34,0.0,0.888,0.112,60
260,Fox,Sun Jan 07 23:21:31 +0000 2018,".@ArthelNeville: ""Is the AG trying to appease @POTUS?""

@Jamie_Weinstein: ""I think the attorney general has been em… https://t.co/BdYEOOa62R",0.2732,0.11,0.89,0.0,61
261,Fox,Sun Jan 07 23:16:00 +0000 2018,NJ man arrested 92 times gets decades in prison for killing son's mom https://t.co/S2UxsC3Nk6,-0.8957,0.0,0.505,0.495,62
262,Fox,Sun Jan 07 23:11:00 +0000 2018,Antifa member ordered to pay legal fees of Berkeley conservative over attempted restraining order https://t.co/2boASDxYcv,0.0258,0.094,0.818,0.088,63
263,Fox,Sun Jan 07 23:10:00 +0000 2018,"OPINION: Pot is dangerous, not funny -- a doctor tells us why https://t.co/AD8qDFTpzW",-0.6711,0.0,0.645,0.355,64
264,Fox,Sun Jan 07 23:03:00 +0000 2018,#GameofThrones actor Kit Harington kicked out of NYC bar https://t.co/NLxWKkgg2k,0.0,0.0,1.0,0.0,65
265,Fox,Sun Jan 07 23:00:01 +0000 2018,.@HeyTammyBruce: 'Fake but important' Trump book proves liberals don't care about the truth         https://t.co/P3nDYCY7L2,-0.088,0.249,0.484,0.266,66
266,Fox,Sun Jan 07 22:55:06 +0000 2018,".@TomFitton: ""If it's a serious investigation, Mrs. Clinton needs to take some legal counsel and take this more ser… https://t.co/K4LZqQupgT",0.0516,0.076,0.859,0.066,67
267,Fox,Sun Jan 07 22:54:04 +0000 2018,".@PMorici1: ""The bottom line here is American companies are doing better since Mr. Trump won the election. They're… https://t.co/aiKKAuJ4up",0.765,0.28,0.72,0.0,68
268,Fox,Sun Jan 07 22:51:01 +0000 2018,".@POTUS, yesterday, on Michael Wolff: ""I never interviewed with him in the @WhiteHouse at all. He was never in the… https://t.co/HZA6ece644",0.0,0.0,1.0,0.0,69
269,Fox,Sun Jan 07 22:48:04 +0000 2018,"Trump Book Author Recalls WH Visits, Rebuffs Criticism       https://t.co/jrokFD3Wpp",-0.4404,0.0,0.734,0.266,70
270,Fox,Sun Jan 07 22:46:21 +0000 2018,Volunteer attacked with machete while delivering meals to the homeless https://t.co/cqVRT725JZ,-0.4588,0.0,0.769,0.231,71
271,Fox,Sun Jan 07 22:46:06 +0000 2018,RT @foxnewspolitics: Trump slams 'flunky' CNN star Jake Tapper after Stephen Miller grilling flies off the rails    https://t.co/nwHmPxLnrj,0.0,0.0,1.0,0.0,72
272,Fox,Sun Jan 07 22:45:07 +0000 2018,".@POTUS: ""We also obviously went into budgets, and we went into DACA... and we hope that we're going to work out an… https://t.co/Sg90O6ZkOy",0.4404,0.116,0.884,0.0,73
273,Fox,Sun Jan 07 22:41:57 +0000 2018,"NFL’s Roger Goodell not worried about TV ratings despite backlash over kneeling, concussions
   https://t.co/KGMbpXQI2m",0.2235,0.127,0.873,0.0,74
274,Fox,Sun Jan 07 22:41:53 +0000 2018,Mysterious x-ray emission may reveal nature of dark matter https://t.co/LxPOzaFZdM,0.0258,0.109,0.891,0.0,75
275,Fox,Sun Jan 07 22:35:21 +0000 2018,"RT @EricShawnTV: I anchor at 6 pm ET @FoxNews: The #WhiteHouse: @POTUS @realDonaldTrump and Macron say #Tehran uses #Iran's ""wealth to fund…",0.4939,0.144,0.856,0.0,76
276,Fox,Sun Jan 07 22:30:18 +0000 2018,"Boston firefighters battle fire, ice during blaze as deep freeze set to end https://t.co/b2rD9DqKrb",-0.5859,0.07,0.64,0.291,77
277,Fox,Sun Jan 07 22:22:20 +0000 2018,"On ""Sunday Morning Futures with @MariaBartiromo,"" Sen. @ThomTillis slammed Democrats who have changed their tune ra… https://t.co/lTzWMDHJdR",0.0,0.0,1.0,0.0,78
278,Fox,Sun Jan 07 22:21:53 +0000 2018,"'Jumanji,' shockingly topples 'Star Wars: The Last Jedi' at the box office https://t.co/uBc8oYLqkW",-0.6486,0.0,0.675,0.325,79
279,Fox,Sun Jan 07 22:16:55 +0000 2018,Christians in Egypt celebrate Christmas after year marred by violence - via @christocarbone    https://t.co/ZGewkfCTgn,-0.1027,0.197,0.585,0.218,80
280,Fox,Sun Jan 07 22:11:07 +0000 2018,"'Mad Pooper' copycat makes 'vile' mess in driveway, Arkansas woman says https://t.co/MKBlcg4NIb",-0.6908,0.0,0.637,0.363,81
281,Fox,Sun Jan 07 22:07:06 +0000 2018,"TONIGHT: @WilliamJBennett hosts ""The Wise Guys,"" a powerful discussion on America's future - Tune in at 8p &amp; 11p ET… https://t.co/VoHxXFWJbO",0.7096,0.258,0.742,0.0,82
282,Fox,Sun Jan 07 22:05:03 +0000 2018,".@AlanDersh: ""How dare liberals - people on the left - try to undo democracy by accusing a president of being menta… https://t.co/gH1oC8mjtQ",-0.1779,0.0,0.914,0.086,83
283,Fox,Sun Jan 07 22:04:54 +0000 2018,"Betty White, 95, speaks about longevity, vodka and hot dogs https://t.co/gwpVS4FrTD",0.0,0.0,1.0,0.0,84
